chrom,start,end,label
chr10,79510825,79511747,YES
chr10,66382805,66383761,YES
chr10,21707960,21708946,YES
chr10,75400370,75401358,YES
chr10,59420365,59421368,YES
chr10,85002060,85003073,YES
chr10,62359244,62360289,YES
chr10,66546199,66547268,YES
chr10,62355400,62356508,YES
chr10,20821335,20822452,YES
chr10,21548506,21549691,YES
chr10,75344358,75345568,YES
chr10,62346394,62347684,YES
chr10,20810452,20811824,YES
chr10,44111194,44112766,YES
chr10,79513311,79515168,YES
chr11,117837404,117837462,YES
chr11,116943025,116943531,YES
chr11,12357626,12358164,YES
chr11,12369590,12370205,YES
chr11,104166920,104167544,YES
chr11,52184053,52184686,YES
chr11,33427175,33427817,YES
chr11,88481360,88482029,YES
chr11,77707215,77707886,YES
chr11,8466451,8467126,YES
chr11,77718105,77718786,YES
chr11,52173182,52173868,YES
chr11,12367036,12367747,YES
chr11,77704209,77704927,YES
chr11,54767341,54768063,YES
chr11,116952826,116953583,YES
chr11,117837493,117838253,YES
chr11,98823511,98824279,YES
chr11,98825698,98826466,YES
chr11,104156781,104157556,YES
chr11,33450700,33451476,YES
chr11,66831156,66831944,YES
chr11,54785035,54785832,YES
chr11,88485933,88486737,YES
chr11,107310169,107310982,YES
chr11,66733372,66734190,YES
chr11,66746156,66746990,YES
chr11,66833712,66834584,YES
chr11,62326351,62327251,YES
chr11,102190649,102191563,YES
chr11,54771808,54772727,YES
chr11,8475387,8476319,YES
chr11,117833701,117834635,YES
chr11,102192756,102193692,YES
chr11,33443794,33444731,YES
chr11,66837289,66838230,YES
chr11,97517673,97518631,YES
chr11,88490843,88491812,YES
chr11,33433212,33434198,YES
chr11,77697704,77698715,YES
chr11,8485860,8486876,YES
chr11,66824791,66825867,YES
chr11,104150171,104151258,YES
chr11,107296669,107297772,YES
chr11,62324296,62325453,YES
chr11,8468954,8470138,YES
chr11,69517060,69518300,YES
chr11,97522735,97524159,YES
chr11,69521276,69522803,YES
chr11,117835689,117837392,YES
chr11,33436649,33438393,YES
chr11,9015537,9017663,YES
chr12,111710204,111710269,YES
chr12,88244634,88245155,YES
chr12,111710270,111710794,YES
chr12,57385208,57385771,YES
chr12,56587347,56587911,YES
chr12,57385850,57386427,YES
chr12,87807046,87807624,YES
chr12,87819675,87820319,YES
chr12,111725920,111726579,YES
chr12,55407498,55408159,YES
chr12,103940487,103941199,YES
chr12,111709296,111710011,YES
chr12,111737149,111737951,YES
chr12,111742841,111743677,YES
chr12,12810177,12811020,YES
chr12,12793626,12794477,YES
chr12,103952135,103953004,YES
chr12,12945289,12946165,YES
chr12,88239069,88239980,YES
chr12,12933791,12934743,YES
chr12,56596807,56597774,YES
chr12,87839385,87840360,YES
chr12,57399127,57400114,YES
chr12,57397185,57398220,YES
chr12,87811648,87812700,YES
chr12,56606048,56607146,YES
chr12,12794683,12795881,YES
chr12,87844939,87846192,YES
chr12,111655417,111656705,YES
chr12,87842071,87843393,YES
chr12,12790432,12791846,YES
chr12,55413334,55415046,YES
chr12,12948436,12950936,YES
chr13,96304856,96304906,YES
chr13,110418702,110419248,YES
chr13,98224554,98225162,YES
chr13,98204787,98205450,YES
chr13,98217919,98218657,YES
chr13,98202400,98203140,YES
chr13,98062099,98062842,YES
chr13,64069823,64070583,YES
chr13,96295094,96295862,YES
chr13,110434008,110434790,YES
chr13,96303879,96304678,YES
chr13,110441885,110442750,YES
chr13,98052562,98053557,YES
chr13,96305043,96306119,YES
chr13,64080691,64082322,YES
chr13,110422180,110424078,YES
chr14,106303912,106304433,YES
chr14,71023501,71024024,YES
chr14,22308429,22308989,YES
chr14,22293688,22294265,YES
chr14,49273113,49273728,YES
chr14,76905409,76906028,YES
chr14,64131202,64131901,YES
chr14,22305075,22305784,YES
chr14,77029583,77030315,YES
chr14,76894682,76895440,YES
chr14,65251303,65252067,YES
chr14,77015215,77015985,YES
chr14,71022659,71023439,YES
chr14,76915141,76915946,YES
chr14,106259930,106260753,YES
chr14,22303078,22303905,YES
chr14,106296486,106297329,YES
chr14,64120351,64121260,YES
chr14,65258940,65259854,YES
chr14,106250319,106251246,YES
chr14,49282259,49283200,YES
chr14,65268524,65269514,YES
chr14,77024344,77025391,YES
chr14,64118817,64119891,YES
chr14,55704349,55705463,YES
chr14,106299610,106300732,YES
chr14,106258164,106259395,YES
chr14,99754019,99755307,YES
chr14,99738540,99739893,YES
chr14,49273861,49275263,YES
chr14,99752022,99753654,YES
chr14,71034083,71035930,YES
chr15,61918415,61918996,YES
chr15,77180297,77181023,YES
chr15,61923984,61924748,YES
chr15,25669962,25670741,YES
chr15,25654102,25654885,YES
chr15,97422878,97423669,YES
chr15,97226841,97227633,YES
chr15,25658157,25658957,YES
chr15,88539016,88539831,YES
chr15,97213657,97214481,YES
chr15,103352676,103353500,YES
chr15,25697399,25698230,YES
chr15,77168852,77169719,YES
chr15,97206423,97207486,YES
chr15,25699097,25700236,YES
chr15,25691409,25692694,YES
chr15,25702971,25704265,YES
chr15,97198605,97200161,YES
chr15,25683228,25684785,YES
chr15,97423701,97425328,YES
chr15,103349226,103351019,YES
chr15,77185424,77187251,YES
chr16,8758173,8758663,YES
chr16,29664266,29664938,YES
chr16,84772625,84773364,YES
chr16,8767268,8768014,YES
chr16,8772847,8773658,YES
chr16,29657509,29658530,YES
chr16,8778435,8779472,YES
chr16,23099373,23100436,YES
chr16,23102207,23103471,YES
chr16,29666816,29668114,YES
chr16,84769173,84770936,YES
chr16,84778882,84780686,YES
chr17,26645322,26645761,YES
chr17,37215135,37215590,YES
chr17,31939569,31940144,YES
chr17,31952130,31952722,YES
chr17,45593477,45594086,YES
chr17,26648071,26648689,YES
chr17,66835773,66836409,YES
chr17,31956101,31956756,YES
chr17,26639417,26640101,YES
chr17,31948196,31948896,YES
chr17,71241991,71242699,YES
chr17,29209618,29210332,YES
chr17,26631721,26632486,YES
chr17,10549089,10549855,YES
chr17,10570071,10570838,YES
chr17,66833099,66833900,YES
chr17,29217602,29218426,YES
chr17,35639211,35640042,YES
chr17,71249740,71250610,YES
chr17,71215561,71216437,YES
chr17,66818723,66819618,YES
chr17,37134094,37134996,YES
chr17,35641524,35642435,YES
chr17,35640507,35641441,YES
chr17,45595562,45596503,YES
chr17,31944882,31945831,YES
chr17,71179005,71179956,YES
chr17,37110202,37111178,YES
chr17,47640414,47641419,YES
chr17,37132055,37133069,YES
chr17,47647939,47649043,YES
chr17,71099757,71100905,YES
chr17,71221271,71222433,YES
chr17,29587776,29588942,YES
chr17,31943057,31944244,YES
chr17,37209046,37210274,YES
chr17,71096763,71098084,YES
chr17,37118999,37120350,YES
chr17,71177302,71178694,YES
chr17,71213804,71215251,YES
chr17,10558529,10559977,YES
chr17,66828909,66830666,YES
chr17,37215634,37217726,YES
chr18,61788348,61788400,YES
chr18,38538325,38538780,YES
chr18,40467587,40468140,YES
chr18,38550473,38551037,YES
chr18,38546015,38546669,YES
chr18,38788269,38788946,YES
chr18,38539653,38540393,YES
chr18,35202713,35203454,YES
chr18,75744316,75745073,YES
chr18,61787544,61788318,YES
chr18,75520332,75521203,YES
chr18,75738693,75739664,YES
chr18,38543572,38544558,YES
chr18,75526249,75527277,YES
chr18,75504155,75505202,YES
chr18,38760823,38761958,YES
chr18,36412873,36414154,YES
chr18,38795352,38796942,YES
chr19,5835881,5836375,YES
chr19,21859598,21860168,YES
chr19,23161889,23162488,YES
chr19,25553498,25554146,YES
chr19,53534665,53535319,YES
chr19,53523440,53524099,YES
chr19,21863440,21864104,YES
chr19,5846341,5847014,YES
chr19,23139991,23140673,YES
chr19,21858770,21859477,YES
chr19,23150098,23150810,YES
chr19,25560800,25561554,YES
chr19,21865893,21866770,YES
chr19,23164010,23164924,YES
chr19,23169175,23170189,YES
chr19,23207455,23208806,YES
chr19,25561588,25564092,YES
chr2,162892578,162892703,YES
chr2,162892792,162893236,YES
chr2,33300369,33300860,YES
chr2,33282029,33282550,YES
chr2,154242651,154243219,YES
chr2,30913257,30913848,YES
chr2,168605401,168606034,YES
chr2,152563042,152563676,YES
chr2,20587019,20587660,YES
chr2,162860266,162860933,YES
chr2,162878475,162879241,YES
chr2,71575856,71576629,YES
chr2,168592324,168593110,YES
chr2,20574602,20575417,YES
chr2,71488013,71488835,YES
chr2,33294855,33295688,YES
chr2,162887449,162888297,YES
chr2,32008891,32009744,YES
chr2,168616270,168617170,YES
chr2,71490211,71491139,YES
chr2,33293764,33294712,YES
chr2,152552277,152553241,YES
chr2,154248945,154249919,YES
chr2,20590756,20591747,YES
chr2,168594522,168595519,YES
chr2,168589688,168590713,YES
chr2,71582888,71583914,YES
chr2,32029668,32030736,YES
chr2,154253277,154254374,YES
chr2,152002668,152003777,YES
chr2,71493420,71494617,YES
chr2,32017573,32018776,YES
chr2,162856904,162858138,YES
chr2,30915672,30916908,YES
chr2,162877048,162878435,YES
chr2,30923903,30925299,YES
chr2,20576153,20577587,YES
chr2,154251328,154253181,YES
chr2,165981373,165983444,YES
chr3,135210216,135210744,YES
chr3,103008304,103008835,YES
chr3,129251592,129252242,YES
chr3,129252387,129253074,YES
chr3,34633687,34634403,YES
chr3,34659979,34660705,YES
chr3,88376700,88377434,YES
chr3,129260624,129261362,YES
chr3,95455034,95455773,YES
chr3,129247012,129247790,YES
chr3,103018256,103019058,YES
chr3,34546786,34547601,YES
chr3,96484047,96484864,YES
chr3,133181431,133182256,YES
chr3,129250161,129251018,YES
chr3,34643836,34644755,YES
chr3,34656504,34657426,YES
chr3,129254492,129255420,YES
chr3,9654181,9655131,YES
chr3,34544904,34545862,YES
chr3,34552511,34553511,YES
chr3,88379082,88380083,YES
chr3,133187348,133188367,YES
chr3,88375442,88376506,YES
chr3,9641461,9642527,YES
chr3,133195061,133196181,YES
chr3,96479158,96480288,YES
chr3,34658749,34659896,YES
chr3,135208956,135210140,YES
chr3,103011341,103012562,YES
chr3,95466985,95468269,YES
chr3,34655011,34656305,YES
chr3,133196255,133197648,YES
chr3,96380383,96382115,YES
chr4,141627571,141627603,YES
chr4,141120768,141120812,YES
chr4,118745433,118745786,YES
chr4,55469259,55469666,YES
chr4,137344479,137345036,YES
chr4,137329436,137330003,YES
chr4,140826072,140826659,YES
chr4,125211671,125212332,YES
chr4,141616653,141617331,YES
chr4,123302495,123303179,YES
chr4,98507649,98508369,YES
chr4,141725445,141726166,YES
chr4,123300547,123301321,YES
chr4,98513929,98514709,YES
chr4,154563584,154564383,YES
chr4,137356966,137357766,YES
chr4,147463050,147463850,YES
chr4,140840121,140840922,YES
chr4,147459254,147460063,YES
chr4,141125631,141126477,YES
chr4,137333543,137334395,YES
chr4,154537213,154538078,YES
chr4,126875757,126876628,YES
chr4,137148873,137149773,YES
chr4,130195646,130196547,YES
chr4,123301395,123302309,YES
chr4,137152921,137153839,YES
chr4,138000554,138001537,YES
chr4,141624825,141625832,YES
chr4,141721916,141722936,YES
chr4,55490058,55491081,YES
chr4,126877979,126879027,YES
chr4,141626425,141627547,YES
chr4,141120824,141121981,YES
chr4,98512293,98513536,YES
chr4,55487828,55489133,YES
chr4,140837823,140839147,YES
chr4,138005029,138006368,YES
chr4,55476508,55477863,YES
chr4,130178808,130180168,YES
chr4,118743867,118745233,YES
chr4,125222049,125223450,YES
chr5,123586071,123586126,YES
chr5,33880160,33880481,YES
chr5,118959723,118960269,YES
chr5,120161881,120162429,YES
chr5,120130884,120131492,YES
chr5,53945989,53946610,YES
chr5,53933177,53933825,YES
chr5,53946664,53947327,YES
chr5,120144673,120145427,YES
chr5,135417523,135418325,YES
chr5,33873714,33874517,YES
chr5,116857836,116858641,YES
chr5,120162558,120163391,YES
chr5,120129592,120130443,YES
chr5,123588085,123588937,YES
chr5,120029649,120030507,YES
chr5,135420829,135421698,YES
chr5,113763556,113764443,YES
chr5,113758941,113759831,YES
chr5,120131671,120132582,YES
chr5,120170571,120171482,YES
chr5,113774470,113775389,YES
chr5,120159567,120160509,YES
chr5,118951444,118952387,YES
chr5,120036110,120037063,YES
chr5,123586241,123587234,YES
chr5,135418334,135419332,YES
chr5,65255735,65256794,YES
chr5,116845764,116846861,YES
chr5,123589620,123590728,YES
chr5,116859691,116860853,YES
chr5,33877732,33878953,YES
chr5,120034213,120035512,YES
chr5,123584659,123585967,YES
chr5,118886283,118887777,YES
chr5,118884660,118886207,YES
chr5,120156188,120157793,YES
chr5,118894265,118896412,YES
chr6,143057202,143057338,YES
chr6,122715727,122715934,YES
chr6,122640118,122640519,YES
chr6,122613782,122614260,YES
chr6,31848570,31849131,YES
chr6,64961359,64961947,YES
chr6,142458188,142458786,YES
chr6,143065159,143065758,YES
chr6,31834643,31835313,YES
chr6,142458879,142459555,YES
chr6,122720180,122720862,YES
chr6,125392412,125393135,YES
chr6,122657117,122657871,YES
chr6,145223385,145224167,YES
chr6,31846790,31847618,YES
chr6,142459765,142460597,YES
chr6,143047309,143048150,YES
chr6,142461052,142461905,YES
chr6,83843461,83844315,YES
chr6,31851584,31852445,YES
chr6,64974293,64975186,YES
chr6,39370384,39371286,YES
chr6,122715972,122716907,YES
chr6,64984221,64985161,YES
chr6,125383335,125384275,YES
chr6,67063243,67064202,YES
chr6,125397063,125398024,YES
chr6,122612514,122613492,YES
chr6,91650794,91651821,YES
chr6,122291938,122293017,YES
chr6,64971525,64972623,YES
chr6,91660132,91661247,YES
chr6,83839914,83841030,YES
chr6,67061148,67062314,YES
chr6,39395571,39396779,YES
chr6,91640161,91641394,YES
chr6,122652148,122653542,YES
chr6,122714316,122715712,YES
chr6,145224227,145225674,YES
chr6,122290093,122291827,YES
chr7,91033004,91033146,YES
chr7,147132098,147132429,YES
chr7,56592909,56593437,YES
chr7,3210563,3211109,YES
chr7,91039790,91040358,YES
chr7,38815538,38816123,YES
chr7,140304156,140304745,YES
chr7,87169351,87169963,YES
chr7,38812914,38813562,YES
chr7,3193004,3193682,YES
chr7,86367653,86368339,YES
chr7,52806853,52807552,YES
chr7,52814062,52814768,YES
chr7,147135523,147136231,YES
chr7,4776872,4777612,YES
chr7,38813996,38814739,YES
chr7,71098214,71098990,YES
chr7,87344557,87345334,YES
chr7,152049923,152050716,YES
chr7,4772296,4773107,YES
chr7,31249802,31250619,YES
chr7,31248315,31249141,YES
chr7,91027196,91028035,YES
chr7,71101618,71102481,YES
chr7,3217305,3218183,YES
chr7,119831735,119832617,YES
chr7,91033190,91034081,YES
chr7,91050934,91051830,YES
chr7,87333420,87334347,YES
chr7,30982397,30983339,YES
chr7,3203813,3204774,YES
chr7,147131117,147132084,YES
chr7,152043497,152044469,YES
chr7,13599334,13600325,YES
chr7,140306243,140307245,YES
chr7,152036872,152037879,YES
chr7,3213162,3214173,YES
chr7,3200890,3201909,YES
chr7,87274999,87276022,YES
chr7,87159908,87160957,YES
chr7,3206226,3207307,YES
chr7,86355826,86357020,YES
chr7,71092246,71093445,YES
chr7,3211590,3212800,YES
chr7,119834225,119835688,YES
chr7,56602219,56604632,YES
chr8,37669893,37670458,YES
chr8,87174072,87174643,YES
chr8,35023426,35024022,YES
chr8,74836614,74837210,YES
chr8,91530368,91530970,YES
chr8,37642521,37643206,YES
chr8,12499468,12500172,YES
chr8,93351924,93352665,YES
chr8,74834685,74835484,YES
chr8,37643862,37644691,YES
chr8,37611820,37612684,YES
chr8,93354428,93355292,YES
chr8,91539286,91540176,YES
chr8,37656605,37657504,YES
chr8,37666548,37667454,YES
chr8,37612926,37613850,YES
chr8,37602064,37603015,YES
chr8,37671010,37671979,YES
chr8,37610797,37611807,YES
chr8,44405736,44406755,YES
chr8,74839580,74840663,YES
chr8,35026329,35027483,YES
chr8,87996475,87997654,YES
chr8,12501865,12503058,YES
chr8,91526938,91528249,YES
chr8,12503391,12504771,YES
chr8,35024472,35025854,YES
chr8,91514813,91516692,YES
chr9,120585871,120586365,YES
chr9,58119837,58120421,YES
chr9,114458126,114458729,YES
chr9,120599461,120600072,YES
chr9,121253431,121254102,YES
chr9,121244501,121245191,YES
chr9,56395075,56395769,YES
chr9,78213521,78214252,YES
chr9,121246556,121247300,YES
chr9,110862607,110863371,YES
chr9,78218962,78219758,YES
chr9,114466050,114466917,YES
chr9,78212412,78213297,YES
chr9,56382386,56383314,YES
chr9,120588512,120589476,YES
chr9,114473273,114474355,YES
chr9,78207143,78208709,YES
chr9,78221850,78223442,YES
chr9,110849422,110851040,YES
chr9,58121627,58123475,YES
chr9,78215873,78217776,YES
chr9,58126583,58128504,YES
chrX,50113663,50114110,YES
chrX,7579919,7580400,YES
chrX,7597425,7597907,YES
chrX,50099968,50100511,YES
chrX,50112239,50113054,YES
chrX,7578969,7579792,YES
chrX,7585538,7586420,YES
chrX,50106363,50107247,YES
chrX,50098631,50099684,YES
chrX,7590033,7591337,YES
chr1,153917338,153917368,NO
chr1,52065557,52065642,NO
chr1,75508284,75508420,NO
chr1,20858056,20858235,NO
chr1,159347974,159348178,NO
chr1,43956286,43956541,NO
chr1,112555810,112556093,NO
chr1,145161774,145162073,NO
chr1,192608358,192608671,NO
chr1,107418961,107419295,NO
chr1,138893410,138893746,NO
chr1,84203566,84203908,NO
chr1,25518154,25518498,NO
chr1,94785466,94785810,NO
chr1,15639832,15640186,NO
chr1,189402023,189402379,NO
chr1,12634697,12635056,NO
chr1,39321366,39321728,NO
chr1,34525361,34525724,NO
chr1,13928434,13928802,NO
chr1,153845033,153845403,NO
chr1,33887433,33887804,NO
chr1,153067273,153067647,NO
chr1,51994269,51994645,NO
chr1,123739327,123739705,NO
chr1,155063622,155064001,NO
chr1,180595185,180595568,NO
chr1,38960832,38961217,NO
chr1,90329114,90329499,NO
chr1,92105640,92106028,NO
chr1,184121248,184121637,NO
chr1,67458147,67458539,NO
chr1,122625521,122625914,NO
chr1,66474335,66474730,NO
chr1,69056677,69057073,NO
chr1,14215552,14215951,NO
chr1,192888978,192889377,NO
chr1,150921864,150922264,NO
chr1,105368051,105368453,NO
chr1,139536270,139536672,NO
chr1,183583588,183583992,NO
chr1,179917631,179918038,NO
chr1,42243142,42243550,NO
chr1,3052873,3053282,NO
chr1,64055638,64056048,NO
chr1,115855788,115856198,NO
chr1,75659125,75659537,NO
chr1,93674856,93675270,NO
chr1,189265529,189265945,NO
chr1,14179691,14180109,NO
chr1,53806787,53807205,NO
chr1,155209082,155209502,NO
chr1,121053766,121054189,NO
chr1,152470260,152470689,NO
chr1,126304642,126305072,NO
chr1,69914422,69914856,NO
chr1,98379447,98379881,NO
chr1,34603897,34604333,NO
chr1,187779717,187780153,NO
chr1,187934331,187934769,NO
chr1,188753062,188753500,NO
chr1,130240870,130241313,NO
chr1,176514128,176514572,NO
chr1,66312890,66313337,NO
chr1,187014856,187015304,NO
chr1,106711822,106712271,NO
chr1,38678680,38679130,NO
chr1,172801604,172802054,NO
chr1,186903860,186904314,NO
chr1,9314031,9314489,NO
chr1,187550637,187551096,NO
chr1,195560077,195560536,NO
chr1,152652632,152653092,NO
chr1,104990515,104990976,NO
chr1,158442765,158443228,NO
chr1,184111825,184112288,NO
chr1,58247734,58248201,NO
chr1,191410579,191411046,NO
chr1,192187243,192187710,NO
chr1,10640603,10641071,NO
chr1,39980543,39981011,NO
chr1,89580724,89581195,NO
chr1,139284018,139284489,NO
chr1,195091866,195092338,NO
chr1,91179130,91179603,NO
chr1,121044146,121044619,NO
chr1,3638904,3639380,NO
chr1,142101811,142102287,NO
chr1,33561177,33561654,NO
chr1,75508472,75508949,NO
chr1,172031696,172032173,NO
chr1,196146697,196147174,NO
chr1,186922887,186923365,NO
chr1,84214254,84214733,NO
chr1,159348232,159348711,NO
chr1,34940572,34941057,NO
chr1,97639642,97640127,NO
chr1,99988888,99989373,NO
chr1,129064204,129064689,NO
chr1,161359901,161360386,NO
chr1,88191384,88191870,NO
chr1,24049730,24050217,NO
chr1,108005699,108006186,NO
chr1,9879468,9879956,NO
chr1,181417257,181417745,NO
chr1,187653353,187653841,NO
chr1,127584474,127584965,NO
chr1,190678113,190678604,NO
chr1,130159400,130159892,NO
chr1,155194867,155195359,NO
chr1,26584585,26585081,NO
chr1,33163168,33163664,NO
chr1,56901363,56901860,NO
chr1,142409970,142410467,NO
chr1,36831255,36831753,NO
chr1,134094126,134094626,NO
chr1,166391111,166391611,NO
chr1,178913440,178913940,NO
chr1,195200086,195200587,NO
chr1,189427836,189428339,NO
chr1,19097270,19097775,NO
chr1,180214029,180214534,NO
chr1,55262544,55263053,NO
chr1,168837273,168837782,NO
chr1,51486517,51487027,NO
chr1,162581677,162582188,NO
chr1,193013762,193014274,NO
chr1,159870425,159870938,NO
chr1,179683455,179683969,NO
chr1,40986225,40986740,NO
chr1,126071319,126071834,NO
chr1,170356969,170357484,NO
chr1,71787686,71788202,NO
chr1,115860671,115861187,NO
chr1,56725471,56725988,NO
chr1,92371461,92371980,NO
chr1,112671399,112671918,NO
chr1,76904125,76904645,NO
chr1,180237685,180238205,NO
chr1,57357878,57358399,NO
chr1,77598156,77598677,NO
chr1,178810170,178810691,NO
chr1,172626599,172627121,NO
chr1,44670037,44670560,NO
chr1,101867212,101867735,NO
chr1,173151620,173152144,NO
chr1,51963153,51963678,NO
chr1,194660733,194661258,NO
chr1,25238625,25239152,NO
chr1,73547190,73547718,NO
chr1,7722739,7723268,NO
chr1,181107325,181107857,NO
chr1,13445648,13446181,NO
chr1,163699344,163699877,NO
chr1,193348642,193349175,NO
chr1,195181262,195181795,NO
chr1,74226026,74226560,NO
chr1,159369925,159370459,NO
chr1,145113809,145114344,NO
chr1,137551741,137552277,NO
chr1,7581226,7581763,NO
chr1,153725460,153725997,NO
chr1,11072111,11072649,NO
chr1,21389973,21390511,NO
chr1,51799172,51799711,NO
chr1,75842667,75843206,NO
chr1,127641171,127641710,NO
chr1,58627134,58627677,NO
chr1,165931828,165932371,NO
chr1,99983100,99983644,NO
chr1,153082536,153083080,NO
chr1,195860310,195860854,NO
chr1,127969093,127969638,NO
chr1,88078732,88079278,NO
chr1,42970362,42970910,NO
chr1,124961665,124962213,NO
chr1,166400959,166401507,NO
chr1,6107491,6108040,NO
chr1,14302611,14303160,NO
chr1,30924449,30924998,NO
chr1,124351633,124352183,NO
chr1,75859303,75859854,NO
chr1,149062850,149063402,NO
chr1,6132850,6133403,NO
chr1,12015761,12016316,NO
chr1,15742536,15743092,NO
chr1,52713300,52713856,NO
chr1,193642966,193643523,NO
chr1,155587804,155588362,NO
chr1,186972997,186973555,NO
chr1,129897432,129897991,NO
chr1,135264033,135264592,NO
chr1,178564236,178564795,NO
chr1,34000492,34001053,NO
chr1,137753692,137754254,NO
chr1,188085107,188085669,NO
chr1,194346566,194347130,NO
chr1,41446997,41447562,NO
chr1,193485561,193486128,NO
chr1,38900046,38900614,NO
chr1,135748691,135749259,NO
chr1,61465295,61465864,NO
chr1,63112537,63113106,NO
chr1,172407707,172408276,NO
chr1,63984259,63984830,NO
chr1,84173546,84174117,NO
chr1,190463417,190463988,NO
chr1,63032891,63033463,NO
chr1,87640362,87640934,NO
chr1,134991785,134992357,NO
chr1,84267550,84268123,NO
chr1,133808795,133809368,NO
chr1,137528746,137529319,NO
chr1,157331251,157331824,NO
chr1,173056197,173056770,NO
chr1,103815262,103815836,NO
chr1,45416474,45417050,NO
chr1,96194784,96195360,NO
chr1,173954295,173954872,NO
chr1,82863422,82864000,NO
chr1,108073359,108073939,NO
chr1,108118552,108119132,NO
chr1,171764502,171765082,NO
chr1,192894068,192894651,NO
chr1,53638024,53638608,NO
chr1,54441085,54441669,NO
chr1,154790039,154790623,NO
chr1,189603379,189603963,NO
chr1,35806834,35807419,NO
chr1,170288067,170288652,NO
chr1,179546413,179546999,NO
chr1,186320689,186321275,NO
chr1,98771158,98771746,NO
chr1,178542898,178543486,NO
chr1,3904119,3904709,NO
chr1,11457084,11457674,NO
chr1,121974196,121974786,NO
chr1,18629342,18629933,NO
chr1,35898377,35898968,NO
chr1,88814555,88815146,NO
chr1,55632577,55633169,NO
chr1,129403672,129404264,NO
chr1,181431130,181431722,NO
chr1,84546093,84546686,NO
chr1,7303417,7304011,NO
chr1,158598688,158599282,NO
chr1,77626231,77626826,NO
chr1,134134167,134134762,NO
chr1,42781554,42782151,NO
chr1,40414471,40415069,NO
chr1,96889771,96890369,NO
chr1,165948234,165948832,NO
chr1,173900918,173901516,NO
chr1,190484157,190484755,NO
chr1,10021675,10022274,NO
chr1,63290315,63290914,NO
chr1,37019625,37020225,NO
chr1,45464374,45464974,NO
chr1,54109534,54110134,NO
chr1,160316848,160317449,NO
chr1,70853116,70853718,NO
chr1,184024322,184024924,NO
chr1,64467643,64468247,NO
chr1,65417224,65417830,NO
chr1,188742217,188742823,NO
chr1,46978412,46979019,NO
chr1,166420037,166420644,NO
chr1,14410966,14411574,NO
chr1,41197250,41197858,NO
chr1,90921601,90922210,NO
chr1,55096713,55097323,NO
chr1,90363134,90363745,NO
chr1,39179440,39180053,NO
chr1,194278721,194279334,NO
chr1,196624515,196625128,NO
chr1,52584461,52585076,NO
chr1,31290349,31290965,NO
chr1,140852970,140853586,NO
chr1,155038686,155039302,NO
chr1,196442242,196442858,NO
chr1,165558076,165558693,NO
chr1,181371755,181372372,NO
chr1,44624882,44625501,NO
chr1,14282354,14282974,NO
chr1,155163213,155163835,NO
chr1,64965221,64965844,NO
chr1,134160117,134160740,NO
